Open,High,Low,Volume,Close
12373.47,12738.55,12165.31,100950232,12738.55
12798.08,12890.2,12452.48,86638256,12607.24
12607.24,13105.44,12455.15,125415296,12643.75
12643.75,12704.87,11944.32,80500032,12052.38
12052.38,12052.38,11525.81,71374592,11616.58
11616.58,11967.96,11615.47,58683408,11967.96
11967.96,11976.64,11154.87,59339980,11230.62
11230.62,11569.4,10758.52,79533880,11060.95
11060.95,11064.87,10604.02,70438888,10687.1
10687.1,10934.34,10031.26,121904856,10879.83
10879.83,11361.15,10879.83,82382560,11270.98
11270.98,11787.39,11270.98,84958656,11760.99
11760.99,11760.99,11219.79,62059312,11296.73
11296.73,11733.14,10961.6,85538280,11733.14
11733.14,12043.96,11722.91,91697248,12006.3
12006.3,12318.07,11853.65,109807104,12138.26
12138.26,12138.26,11446.49,60625208,11635.96
11635.96,11700.4,11251.46,69444216,11429.4
11429.4,11715.27,11152.18,62151324,11284.4
11284.4,11971.31,11274.07,75670472,12016.98
11971.31,12124.1,11738.86,85713808,11839.75
11839.75,12247.25,11049.53,84147888,11082.13
11082.13,11277.15,10586.33,77236048,10794.4
10794.4,11000.13,10656.75,68853856,10822.4
10822.4,11062.55,10672.51,78095384,10982.98
10982.98,11123.03,10840.59,48096328,11119.75
11119.75,11230.16,10656.75,45509828,10805.48
10838.17,11176.67,10702.89,74970024,11039.38
11039.38,11359.25,11028.62,76610728,11164.22
11164.22,11266.76,10891.55,63006624,11084.94
11084.94,11376.45,11071.68,60024804,11204.24
11204.24,11513.57,11057.91,69347664,11513.57
11513.57,11513.57,10963.03,49908852,11153.06
11153.06,11153.06,10799.46,51109980,11082.27
11082.27,11223.83,11036.37,37802876,11175.75
11175.75,11175.75,10004.34,81171464,10168.8
10168.8,10509.94,9717.13,73848832,10048.02
10048.02,10226.74,9276.08,69373600,9469.46
9469.46,9856.59,8635.76,84809160,8730.04
8730.04,9226.59,8326.66,163996448,9122.56
9122.56,9452.45,8873.83,109460208,8940.84
